rank,title,price,original_price,discount,release_date,tags,review_score,review_count,app_id,url,image_url,price_numeric,original_price_numeric,review_score_numeric
1,Counter-Strike 2,N/A,N/A,0,"Aug 21, 2012",[],Very Positive,86,730,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/730/capsule_sm_120.jpg?t=1749053861,0,0,8
2,Dune: Awakening,N/A,N/A,0,"Jun 10, 2025",[],Very Positive,84,1172710,https://store.steampowered.com/app/1172710/Dune_Awakening/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1172710/2cdfa2dbd17712c40a739aa4c56ada05b5b2f4cc/capsule_sm_120_alt_assets_1.jpg?t=1749247709,0,0,8
3,DELTARUNE,N/A,N/A,0,"Jun 4, 2025",[],Overwhelmingly Positive,98,1671210,https://store.steampowered.com/app/1671210/DELTARUNE/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1671210/capsule_sm_120.jpg?t=1749252480,0,0,10
4,ELDEN RING NIGHTREIGN,N/A,N/A,0,"May 29, 2025",[],Mostly Positive,77,2622380,https://store.steampowered.com/app/2622380/ELDEN_RING_NIGHTREIGN/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2622380/8ebc4260af27bc55ba8b88982fd7eb7f970d43c9/capsule_sm_120.jpg?t=1749150157,0,0,6
5,Clair Obscur: Expedition 33,N/A,N/A,0,"Apr 24, 2025",[],Overwhelmingly Positive,95,1903340,https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1903340/001d4a5d81e4bb9055b789240e78e04ef6e6da38/capsule_sm_120.jpg?t=1748602947,0,0,10
6,Marvel Rivals,N/A,N/A,0,"Dec 5, 2024",[],Mostly Positive,79,2767030,https://store.steampowered.com/app/2767030/Marvel_Rivals/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2767030/c984653538cfda1d1b195bd396b58936c2c65ae7/capsule_sm_120.jpg?t=1748596178,0,0,6
7,HELLDIVERS™ 2,N/A,N/A,0,"Feb 8, 2024",[],Mostly Positive,77,553850,https://store.steampowered.com/app/553850/HELLDIVERS_2/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/553850/3bfaabaa23c8e1ca72c558782d7c7ff4cbc2e89a/capsule_sm_120.jpg?t=1748015354,0,0,6
8,Schedule I,N/A,N/A,0,"Mar 24, 2025",[],Overwhelmingly Positive,98,3164500,https://store.steampowered.com/app/3164500/Schedule_I/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3164500/986ee9a7a25cb0e61d1530cc3cd7e3e06aa68733/capsule_sm_120.jpg?t=1748368581,0,0,10
9,Warframe,N/A,N/A,0,"Mar 25, 2013",[],Very Positive,87,230410,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/230410/6a7b91ee0d56a1df7d28eccc0ca3208056193d2c/capsule_sm_120.jpg?t=1748645305,0,0,8
10,Dead by Daylight,N/A,N/A,0,"Jun 14, 2016",[],Mostly Positive,79,381210,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/381210/capsule_sm_120.jpg?t=1746584187,0,0,6
11,R.E.P.O.,N/A,N/A,0,"Feb 26, 2025",[],Overwhelmingly Positive,96,3241660,https://store.steampowered.com/app/3241660/REPO/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3241660/28c1bb423e9af8646047e9e881c3a0ac121647f6/capsule_sm_120.jpg?t=1747381002,0,0,10
12,The Elder Scrolls® Online,N/A,N/A,0,"May 22, 2017",[],Very Positive,82,306130,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/306130/f38d05973ad01d20a0c9a49446a80017cb5f8f7d/capsule_sm_120.jpg?t=1748957104,0,0,8
13,Rust,N/A,N/A,0,"Feb 8, 2018",[],Very Positive,87,252490,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/252490/21aac0b6e20e1ba12f635e7deb730e32a51afbd5/capsule_sm_120.jpg?t=1747389753,0,0,8
14,Destiny 2,N/A,N/A,0,"Oct 1, 2019",[],Mostly Positive,79,1085660,https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1085660/capsule_sm_120.jpg?t=1748375367,0,0,6
15,Apex Legends™,N/A,N/A,0,"Nov 4, 2020",[],Mixed,67,1172470,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1172470/8d77e0d1ebca6d389b6330cf408936eb93484aee/capsule_sm_120.jpg?t=1749122685,0,0,5
16,War Thunder,N/A,N/A,0,"Aug 15, 2013",[],Mostly Positive,73,236390,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/236390/06145bbd917ad7e52f2874a529f2a46119b991a4/capsule_sm_120.jpg?t=1746626432,0,0,6
17,NBA 2K25,N/A,N/A,0,"Oct 28, 2024",[],Mixed,59,2878980,https://store.steampowered.com/app/2878980/NBA_2K25/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2878980/capsule_sm_120.jpg?t=1747407792,0,0,5
18,Baldur's Gate 3,N/A,N/A,0,"Aug 3, 2023",[],Overwhelmingly Positive,96,1086940,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1086940/3dd81008e9c385caf68152450c22353f6a8abec9/capsule_sm_120.jpg?t=1748346026,0,0,10
19,ELDEN RING,N/A,N/A,0,"Feb 24, 2022",[],Very Positive,92,1245620,https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1245620/capsule_sm_120.jpg?t=1748630546,0,0,8
20,FANTASY LIFE i: The Girl Who Steals Time,N/A,N/A,0,"May 21, 2025",[],Very Positive,92,2993780,https://store.steampowered.com/app/2993780/FANTASY_LIFE_i_The_Girl_Who_Steals_Time/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2993780/2422e5002173254993773f9d064be155a921736f/capsule_sm_120.jpg?t=1748422477,0,0,8
21,Rune Factory: Guardians of Azuma,N/A,N/A,0,"Jun 4, 2025",[],Very Positive,85,2864560,https://store.steampowered.com/app/2864560/Rune_Factory_Guardians_of_Azuma/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2864560/3fe915a5095f483da2b079ac8f73d74610f7588c/capsule_sm_120.jpg?t=1749238872,0,0,8
22,Tom Clancy's Rainbow Six® Siege,N/A,N/A,0,"Dec 1, 2015",[],Very Positive,84,359550,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/359550/capsule_sm_120.jpg?t=1742315874,0,0,8
23,Tainted Grail: The Fall of Avalon,N/A,N/A,0,"May 23, 2025",[],Very Positive,87,1466060,https://store.steampowered.com/app/1466060/Tainted_Grail_The_Fall_of_Avalon/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1466060/capsule_sm_120.jpg?t=1748644538,0,0,8
24,Once Human,N/A,N/A,0,"Jul 9, 2024",[],Mostly Positive,74,2139460,https://store.steampowered.com/app/2139460/Once_Human/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2139460/b0f3073993103b4d21e4f60a6605ea0db72fd238/capsule_sm_120.jpg?t=1747964737,0,0,6
25,Fallout 76,N/A,N/A,0,"Apr 14, 2020",[],Mostly Positive,75,1151340,https://store.steampowered.com/app/1151340/Fallout_76/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1151340/9fafce9a7ffd86523c6c3b4dbd755249a8538592/capsule_sm_120.jpg?t=1748970930,0,0,6
